Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Bananas, ripe and slightly ripe, raw",1,Banana,115,97,0.74,0.29,0,0,0,0,23,0,0,1.7,0,326,0
"Apples, red delicious, with skin, raw",100,g,100,61.86,0.188,0.212,0,0,0,0,14.8,12.2,0,2.04,0,95.3,0
"Apples, fuji, with skin, raw",100,g,100,64.85,0.148,0.162,0,0,0,0,15.7,13.3,0,2.08,1.01,104,0
"Apples, gala, with skin, raw",100,g,100,61.082,0.133,0.15,0,0,0,0,14.8,11.8,0,2.11,0.279,106,0
"Apples, granny smith, with skin, raw",100,g,100,58.706,0.266,0.138,0,0,0,0,14.1,10.6,0,2.51,0,116,0
"Apples, honeycrisp, with skin, raw",100,g,100,60.108,0.102,0.1,0,0,0,0,14.7,12.4,0,1.72,0.138,98,0
"Oil, peanut",100,g,100,840.348,0,0,16.2,57.1,19.9,0.172,0,0,0,0,0,0,0
"Oil, sunflower",100,g,100,838.854,0,0,8.99,63.4,20.7,0.116,0,0,0,0,0,0,0
"Oil, safflower",100,g,100,838.611,0,0,7.65,71.6,13.8,0.129,0,0,0,0,0,0,0
"Oil, olive, extra light",100,g,100,836.244,0,0,15.8,66.6,10.4,0.116,0,0,0,0,0,0,0
"Mushroom, lion's mane",100,g,100,42.664,2.5,0.256,0,0,0,0,7.59,0,0,4.38,0.336,443,0
"Mushroom, oyster",100,g,100,41.052,2.9,0.188,0,0,0,0,6.94,0,0,2.85,1.13,282,0
"Mushrooms, shiitake",100,g,100,44.075,2.41,0.195,0,0,0,0,8.17,0,0,4.17,0.936,243,0
"Mushrooms, white button",100,g,100,31.219,2.89,0.371,0,0,0,0,4.08,0,0,1.72,6.44,373,0
"Soy milk, unsweetened, plain, shelf stable",100,g,100,55.36,3.55,2.12,0.314,0.416,1.15,0,1.29,0,0,0,34.3,158,0
"Almond milk, unsweetened, plain, shelf stable",100,g,100,24.529,0.555,1.22,0.104,0.729,0.276,0,0.337,0,0,0,59.6,30.8,0
"Spinach, baby",100,g,100,26.611,2.85,0.619,0,0,0,0,2.41,0,0,1.56,111,582,0
"Spinach, mature",100,g,100,27.636,2.91,0.604,0,0,0,0,2.64,0,0,1.59,107,460,0
"Tomato, roma",100,g,100,21.969,0.696,0.425,0,0,0,0,3.84,0,0,0.971,0,193,0
"Flour, 00",100,g,100,356.88,11.4,1.52,0,0,0,0,74.4,0,0,2.66,0,136,0
"Flour, spelt, whole grain",100,g,100,363.66,14.5,2.54,0,0,0,0,70.7,0,0,9.34,0,350,0
"Flour, semolina, coarse and semi-coarse",100,g,100,356.4,11.7,1.6,0,0,0,0,73.8,0,0,3.22,0,174,0
"Flour, semolina, fine",100,g,100,357.76,13.3,1.84,0,0,0,0,72,0,0,3.68,0.426,208,0
"Apple juice, with added vitamin C, from concentrate, shelf stable",100,g,100,48.518,0.086,0.286,0,0,0,0,11.4,0,0,0,4.87,95.9,0
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",100,g,100,47.061,0.734,0.325,0,0,0,0,10.3,0,0,0,5.23,180,0
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",100,g,100,66.024,0.258,0.288,0,0,0,0,15.6,0,0,0,4.02,49.8,0
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",100,g,100,65.961,0.094,0.265,0,0,0,0,15.8,0,0,0,7.19,49,0
"Cranberry juice, not fortified, from concentrate, shelf stable",100,g,100,32.082,0,0.338,0,0,0,0,7.26,0,0,0,6.34,70.6,0
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",100,g,100,41.083,0.57,0.267,0,0,0,0,9.1,0,0,0,1.03,128,0
"Tomato juice, with added ingredients, from concentrate, shelf stable",100,g,100,23.308,0.859,0.288,0,0,0,0,4.32,0,0,0,236,198,0
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",100,g,100,46.452,0.812,0.356,0,0,0,0,10,0,0,0,0.075,183,0
"Mushroom, portabella",100,g,100,32.448,2.75,0.312,0,0,0,0,4.66,0,0,1.88,5.31,349,0
"Mushroom, king oyster",100,g,100,46.412,2.41,0.308,0,0,0,0,8.5,0,0,3.01,0.771,294,0
"Mushroom, enoki",100,g,100,44.445,2.42,0.245,0,0,0,0,8.14,0,0,2.94,0.417,402,0
"Mushroom, crimini",100,g,100,30.173,3.09,0.197,0,0,0,0,4.01,0,0,1.78,4.57,380,0
"Mushroom, maitake",100,g,100,37.585,2.2,0.265,0,0,0,0,6.6,0,0,3.07,0.345,260,0
"Mushroom, beech",100,g,100,39.801,2.18,0.449,0,0,0,0,6.76,0,0,3.14,0.891,376,0
"Mushroom, pioppini",100,g,100,39.2,3.5,0.24,0,0,0,0,5.76,0,0,2.75,0,392,0
"Soy milk, sweetened, plain, refrigerated",100,g,100,40.76,2.78,1.96,0,0,0,0,3,0,0,0,39.4,118,0
"Almond milk, unsweetened, plain, refrigerated",100,g,100,19.348,0.656,1.56,0,0,0,0,0.671,0,0,0,59.2,49.3,0
"Oat milk, unsweetened, plain, refrigerated",100,g,100,48.338,0.797,2.75,0,0,0,0,5.1,0,0,0,42,148,0
"Carrots, mature, raw",100,g,100,48.123,0.941,0.351,0,0,0,0,10.3,0,0,3.1,86.6,280,0
"Carrots, baby, raw",100,g,100,40.782,0.805,0.138,0,0,0,0,9.08,0,0,2.69,62.7,237,0
"Peppers, bell, green, raw",100,g,100,22.934,0.715,0.106,0,0,0,0,4.78,0,0,0.942,0,163,0
