food_id,serving_text,serving_weight,is_grams
474,1 portion (15 g),15.0,True
475,20 g,20,True
476,2 bar (42 g),42.0,True
477,80 g,80.0,True
478,100 g,,True
479,100 g,,True
480,100 g,,True
481,100 g,,True
482,100 g,,True
483,200 ml,200,False
484,200ml,200,False
485,140 g,140.0,True
486,100 g,,True
487,1 Tbsp (5 g),5,True
488,1 unidad/piece 76 g / 2.7 oz,76.5437124375,True
489,1 pieza/piece 2 oz,56.69904625,True
490,1 unidad/piece 60 g / 2 oz,56.69904625,True
491,1 tablespoon/cucharada/colher de sopa (20 g/0.7 oz),20.0,True
492,100 g,,True
493,25g,25,True
494,100 g,,True
495,20 g,20,True
496,100 g,,True
497,1 barra/bar (23 g),23.0,True
498,"3,4 g por cada unidad, contiene 9 unidades",3.4,True
499,1 tableta (22 g),22.0,True
500,50 g (1 alfajor),50.0,True
501,1 barra,,True
502,30 g,30,True
503,30 g,30,True
504,1 unidade 5 g,5.0,True
505,3 colheres de sopa (60 g),60.0,True
506,5 unidades (30 g),30.0,True
507,4 unidades (30 g),30.0,True
508,4 unidades (30 g),30.0,True
509,20g,20.0,True
510,1/5 package (100 g),100.0,True
511,100 g,100.0,True
512,100 g,100.0,True
513,100 g,100.0,True
514,80 g,80.0,True
515,1/5 package 100 g,100.0,True
516,80 g,80.0,True
517,1/5 package 100 g,100.0,True
518,1/5 package (100 g),100.0,True
519,1/5 paquete (100 g),100.0,True
520,100 g,100,True
521,1 l,1000.0,False
522,1 portion (10 g),10.0,True
523,10 galletas 30 g,30.0,True
524,100g,100.0,True
525,50 g,50.0,True
526,15g,15,True
527,9g,9.0,True
528,100 g,,True
529,1 g,1,True
530,40 g,40.0,True
531,1 g,1,True
532,40g,40,True
533,30g,30,True
534,20 g,20.0,True
535,1Sobre,,True
536,20g,20,True
537,100 g,,True
538,100 g,,True
539,180 g,180.0,True
540,25g,25,True
541,30 g,30,True
542,2 galletas 30 g,30.0,True
543,100 g,,True
544,100 g,,True
545,100g,100,True
546,6 obleas/wafers (28 g),28.0,True
547,"27,5g",27.5,True
548,1 bonbon (15 g),15.0,True
549,22g,22,True
550,164g,164.0,True
551,4 u (45 g),45,True
552,60g,60,True
553,60 g (3 cucharas de sopa),60,True
554,50g,50,True
555,22g,22,True
556,1 unidad (25 g),25.0,True
557,20 g,20,True
558,26g,26.0,True
559,1 alfajor (56.699 g),56.699,True
560,100 g,,True
561,1 portion (12 g),12.0,True
562,100 g,,True
563,3 cucharas de sopa (60 g),60.0,True
564,13g,13,True
565,100 g,,True
566,29g,29,True
567,100 g,,True
568,200 ml,200,False
569,20 g,20.0,True
570,100 g,,True
571,1.5 g,1.5,True
572,100 g,,True
573,100 g,,True
574,200 ml,200,False
575,400g,400,True
576,100 g,,True
577,100 g,,True
578,1 alfajor (55 g),55.0,True
579,100 g,,True
580,50 g,50.0,True
581,100 g,,True
582,140 g,140,True
583,50 g,50.0,True
584,1 saquito 2 g,2,True
585,85 g,85,True
586,100 g,,True
587,100 g,,True
588,"0,45 ml",0.45,False
589,30 g,30.0,True
590,50g,50,True
591,130g,130,True
592,60 g,60.0,True
593,23.5g,23.5,True
594,80g,80,True
595,200mg,0.2,True
596,30g,30,True
597,30g,30,True
