food_id ,calories,protein,fat,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,carbohydrates,total_sugars,added_sugars,fiber,sodium,potassium,cholesterol
598,393,0,0,0,0,0,0,78.6,71.4,0,6.43,0.164,0.8,0
599,440,0,13.7,6.33,0,0,0,0,1.33,0,0,0.623,0,0
600,381,0,1.4,0.6,0.5,0.3,0,91,77,77,1.5,0.0097,0,0
601,219,0,20,12,0,0,0.7,4.2,0,0,0,0.05,0,0
602,355,0,1.7,0.9,0,0,0,72,3.9,0,0,0.0016,0,0
603,371,0,0,0,0,0,0,92.9,0,0,0,0.595,0,0
604,490,0,23,8.8,0,0,0,65,39,0,2.8,0.338,0,0
605,334,0,1,0,0.25,0.75,0,70,0,0,3.12,0.01,0,0
606,170,0,5,4,0,0,0,30,13,0,2,0.05,0,0
607,22,0,0.465,0,0.08,0.24,0,3.6,2.5,0,0,0.01,0,0
608,52,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0
609,136,0,0,0,0,0,0,33,27,0,0,0.026416000000000005,0,0
610,510,0,56,22,0,0,0,0,0,0,0,0.54,0,0
611,138,0,4.3,0.4,3.4,0.6,0,20,7.8,0,1.2,0,0,0
612,423,0,10,1.1,7.8,1.2,0,72,1.2,0,2.5,0.53,0,0
613,148,0,0,0,0,0,0,37,32,0,1,0.034,0,0
614,447,0,16,1.4,12,2.6,0,68,35,0,4.7,0.265,0,0
615,548,0,29,15.7,9.05,3.33,0,66.7,47.6,0,3.33,0.021,0,0.000952
616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,24,0,0,0,0,0,0,6,6,6,0,0.045,0.012,0
618,405,0,13,1.2,10,1.4,0,64,17,16,9,0.28,0,0
619,419.35483870968,0,12.903225806452,6.4516129032258,8.2,1.4,0.5,64.516129032258,25.806451612903,0,3.2258064516129,0.322580645161292,0,0.016
620,315,0,6,4,0,0,0.3,60,60,0,0,0.145,0,0
621,50.5,0,0,0,0,0,0,12.5,12.5,0,0,0.0125,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0.028448,0,0
623,4.5,0,0,0,0,0,0,1.15,0.25,0,0,0,0,0
624,402,0,5.6,0.6,4.6,0.4,0,74,3.1,0,3.9,0.497,0,0
625,61,0,0,0,0,0,0,12,0,0,0,0.048799999999999996,0,0
626,390,0,26,15,0,0,0,1,0,0,0,1.14,0,0
627,369,0,1,0,0,0,0,83,4,0,0,0.38,0,0
628,440,0,4,0,0,0,0,80,4,0,4,0.48,0,0
629,48.5,0,0,0,0,0,0,12,0,0,0,0.0135,0,0
630,55,0,0,0,0,0,0,13.5,0,0,0.4,0.007,0,0
631,355,0,1.7,0.9,0,0,0,73,3.9,0,0,0.0016,0,0
632,533,0,35,10,0,0,0,47,43,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,60,0,0,0,0,0,0,0,0,0,0,0.553,0,0
635,107,0,0,0,0,0,0,26,26,0,0,0.03048,0,0
636,229,0,4.5,1.1,0,0,0,38,3,0,5,214,0,0
637,512,0,32,3.6,0,0,0,52,3.6,0,0,0.536,0,0
638,433,0,13.7,0,0,0,0,70,0,0,3.33,0.508,0,0
639,256,0,4.2,2.4,1,0.6,0,46,4,4,3.6,0.24,0,0
640,375,0,3,1.5,1,0,0,85,55,55,0,0,0,0
641,509,0,27,13,12,2,0.3,56,34,0,1.9,0.106,0,0.012
642,2.2,0,0,0,0,0,0,0.88,0,0,0,0.2,0,0
643,369,0,13,7.6,2.9,1.7,0.1,57,35,0,0,0.046,0,0.018000000000000002
644,141,0,5.8,3.1,0,0,0.06,20.4,0,0,0.6,0.10400000000000001,0,0
645,660,0,4,0,0,0,0,90,0,0,34,0.02,0,0
646,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0
647,90,0,4.6,3.1,0,0,0,13,0,0,0,0,0,0
648,108,0,3.4,0.3,0,0,0,16,1,0,2.6,0,0,0
649,424,0,15,1.3,12,1.5,0,61,5.4,0,6.2,0.809,0,0
650,334,0,1,0,0,0,0,71.2,0,0,3,0.0137,0,0
651,462,0,18.8,8.85,0,0,0,53.8,53.8,0,3.08,0,0,0
652,259,0,0,0,0,0,0,64,52,0,0,0.012,0,0
653,240,0,0,0,0,0,0,60,0,0,0,0,0,0
654,98.1,0,2.56,1,0,0,0,0,0,0,0.688,0.0619,0,0
655,425,0,15,8.1,5.6,0.7,0.4,64,40,0,1.1,0.111,0,0.019
656,60,0,0,0,0,0,0,0,0,0,0,0.267,0,0
657,126,0,9.4,5.7,0,0,0,7.6,0,0,3.4,0.02,0,0
658,70.8,0,0,0,0,0,0,17.7,0,0,5.77,19.5,0,0
659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,99,0,0,0,0,0,0,23,0,0,0,0,0,0
661,449,0,15,2.3,11,1.1,0,71,0,0,3.1,0.108,0,0
662,397,0,3,0,0,0,0,73.3,0,0,5,0.796,0,0
663,0,0,0,0,0,0,0,91.2,0,0,0,0,0,0
664,338,0,1.6,0,0,0,0,72,0,0,3,0,0,0
665,142,0,10.8,0,0,0,0,10.8,5,0,0,0.745,0,0
666,132,0,3,2,0,0,0,23,0,0,0,0.086,0,0
667,522,0,37,23,13,0,0,37,34,0,9,0.025,0,0
668,432,0,18,3.6,12,2.3,0,60,23,0,7.3,0.34500000000000003,0,0
669,517,0,29.7,13.7,0,0,1.67,53.3,2,2,0,0.567,0,0
670,442,0,20,4.6,12,2.2,0,58,0,0,9,0.31,0,0
671,162,0,4.83,3,0,0,0,0,0,0,0.583,0.0958,0,0
672,272,0,0,0,0,0,3.6e-07,68,0,0,3.4,0,0,0
673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,459,0,17,8,0,0,0,69,28,0,0,0.28,0,0
675,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0
676,53,0,0,0,0,0,0,13,0,0,0,0,0,0
677,436,0,15,1.3,0,0,0,68,8,18,0,0.04,0,0
678,365,0,8.5,1.6,0,0,0,60,0,0,10,6.9088,0,0
679,508,0,24,8.4,0,0,0,68,56,56,0,0.0244,0,0
