id,barcode,name
585,7790411001613,"Yerba, Rosamonte"
586,7793450000661,snack matero
587,7790150813188,Tuy liquido
588,7791273000707,"ananas golden smile, Golden Smile"
589,77903518,"Opera, Bagley,Opera"
590,7622210745620,"Milka con almendras, Milka"
591,77958921,"bon o bon Suerte, Arcor,bon o bon"
592,7790580118570,"Butter Toffees, Arcor"
593,7791337993235,"Ser cereales con miel, Ser,Danone,La Serensísima"
594,7790628102646,"Vainillas, Mauri"
595,7790628102653,"Vainillas, Mauri"
596,7793360005060,"Atún en aceite, La Campagnola"
597,2800001795510,"Lomitos de Atún en aceite y agua, Coto"
598,7790070411815,"Arroz Parboil, Lucchetti"
599,77909053,"Barra de cereal de Manzana y Almendras, Cereal Fort"
600,77940131,"Turrón & Maní, Arcor"
601,7791540044519,"vino dada, dada"
602,7793940406003,"La Serenisima Dulche De Leche, Milk Caramel, La Serenísima"
603,7798024395969,"crackers clasicas, la anonima"
604,77907509,"Dos corazones, Felfort"
605,8480017632913,"jugo en polvo manzana, Dia%"
606,7798128000509,"Alfajores, Cachafaz"
607,7790150497241,"Condimento para empanadas rellenos, Alicante"
608,7798141715558,"Galletitas dulces sabor limón, Carrefour"
609,7798039590342,"Reserve Malbec, Trivento"
610,7793360103018,"Ketchup, La campagnola"
611,7792170000012,"Honey nut oats, Quaker"
612,7613031154111,"Nescafé Gold, Nescafé,Gold,Nestlé"
613,7793360005084,"Atún al Natural, La Campagnola"
614,7791017000062,"Aceite de oliva extra virgen, Yancanelo"
615,7793360000485,"La campagnola Puré de tomate, La Campagnola"
616,77916389,Topline
617,7790045000174,"Galletitas crackers con Salvado, GRANIX"
618,7790326000558,Yerba Mate tradicional
619,7790895068096,"Sin azúcares, Coca-Cola"
620,8480017020253,"Leche en polvo descremada, Dia"
621,7790616000411,"Dulce de leche, Vacalin"
622,7793750000057,"Yerba Mate, Piporé"
623,7790070936493,"Cafe instantáneo suave y espumoso, Arlistán"
624,7790580509309,"Ciruela, Arcor"
625,7790040946200,"criollitas
criollitas, Bagley"
626,7793360004759,Dulce De Leche
627,7792948444413,chimbote
628,7798113300928,"Manaos Manzana, Manaos"
629,7791058002582,"Dulce de leche, Manfrey"
630,7798119220015,"Speed Unlimited, Speed Unlimited"
631,7790040377707,"Criollitas (original), Bagley"
632,77905741,"Alfajor Jorgito, Jorgito"
633,7790895643545,"Ades Almendras, ades"
634,7790244001064,Dulce De Leche (frasco 840 Grs)
635,7790710000133,"Silueta Naranja, CBSé"
636,7798128001711,"Alfajores - Chocolate Negro, Cachafaz"
637,7908016631573,"natura
natura"
638,7792180004888,Harina Pureza Leudante Ultra Refinada
639,7793360002007,"Duraznos en almíbar, La Campagnola"
640,7790072001038,"sal, Celusal"
641,71955827,chocolate Aguila
642,7793750000019,"Yerba mate, Piporé"
643,7790070416780,"Gelatina Exquisita, Exquisita"
644,7790150250136,"Té con Canela, La Virginia"
645,7790174000540,"Milanesas de soja con acelga y espinaca, vegetalex"
646,7793704000225,"Yerba, playadito"
647,7798048281125,"Real mani con chocolate, real"
648,7792280000452,Yerba mate
649,7794940000857,"Zucra Líquido, Hileret"
650,7790119002370,"Sidra, 1888"
651,8480017759054,"Mini cracker salvado, Dia"
652,7793890002577,"tortilla tipo mexicana, Tia Rosa"
653,7790077000425,"budin sabor vainilla, Pozo"
654,7790645003551,"Garbanzos secos remojados Caracas Conserva, Caracas"
655,7891167011960,"Atún Rallado Picante Gomes da Costa, Gomes da Costa"
656,7798104230883,paulvic
657,7791620001203,"Qualy, Qualy"
658,7793913000979,"Queso blanco clásico, Tregar"
659,7622210692245,"Galletitas Sabor Jamón, club social"
660,7790070318336,"Mostachol, Luchetti"
661,7790895010088,"schweppes gaseosa sabor pomelo, schweppes"
662,7790742165909,"Finlandia balance, La serenisima"
663,77916396,Topline strong
